Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Risk,Credit score,Income
20.0,1,2.0,2,1,2,7078.0,33.0,5,0,604.0,44770.0
63.0,1,1.0,3,1,3,12314.0,12.0,4,1,594.0,18173.0
37.0,1,3.0,3,1,2,4572.0,30.0,3,0,-1.0,30163.0
57.0,1,1.0,2,1,2,5096.0,42.0,2,1,-1.0,42658.0
44.0,2,2.0,2,0,3,6240.0,17.0,4,0,618.0,47986.0
23.0,1,2.0,3,1,1,5325.0,54.0,4,0,669.0,12000.0
-1.0,1,2.0,3,3,3,10416.0,54.0,5,0,725.0,47974.0
46.0,2,-1.0,2,1,2,2984.0,15.0,5,0,704.0,39656.0
43.0,2,1.0,3,3,0,2388.0,48.0,0,0,805.0,53287.0
43.0,2,-1.0,3,4,3,12645.0,24.0,2,1,561.0,37228.0
28.0,1,1.0,3,2,3,2924.0,9.0,4,0,648.0,55490.0
49.0,1,-1.0,2,3,2,4097.0,13.0,2,1,508.0,54032.0
39.0,2,3.0,1,1,2,3609.0,12.0,3,1,-1.0,12026.0
26.0,1,2.0,3,1,3,4759.0,26.0,1,1,696.0,32468.0
61.0,1,3.0,1,1,3,-1.0,30.0,5,0,698.0,27479.0
64.0,1,1.0,1,1,3,8833.0,12.0,4,1,542.0,51366.0
43.0,1,3.0,3,2,0,8787.0,32.0,0,1,540.0,30641.0
58.0,1,1.0,2,4,2,8629.0,13.0,1,0,808.0,57521.0
28.0,2,1.0,3,2,4,6262.0,50.0,3,1,658.0,47107.0
25.0,2,2.0,2,1,1,6363.0,31.0,3,0,755.0,21548.0
62.0,2,3.0,3,0,3,9991.0,58.0,3,1,-1.0,23115.0
64.0,2,3.0,2,4,4,1888.0,13.0,4,0,-1.0,62037.0
40.0,2,1.0,2,2,2,2571.0,38.0,5,0,850.0,35158.0
48.0,1,-1.0,2,3,3,884.0,35.0,1,0,609.0,62733.0
53.0,1,-1.0,3,2,4,2666.0,-1.0,4,0,677.0,41885.0
37.0,1,1.0,3,0,4,5525.0,35.0,2,0,591.0,54247.0
51.0,2,2.0,1,1,0,10165.0,35.0,4,1,665.0,20526.0
54.0,2,-1.0,3,3,4,9512.0,22.0,3,1,620.0,-1.0
62.0,2,3.0,3,4,2,11569.0,18.0,0,1,614.0,29946.0
41.0,2,3.0,2,4,1,5587.0,27.0,5,0,570.0,33779.0
43.0,1,2.0,3,3,4,10121.0,11.0,1,1,478.0,47019.0
28.0,2,2.0,1,3,2,12506.0,14.0,4,1,-1.0,29636.0
38.0,1,3.0,1,3,2,8401.0,51.0,1,1,590.0,48090.0
31.0,1,1.0,1,4,1,6538.0,24.0,5,0,634.0,46052.0
57.0,1,3.0,1,4,3,2668.0,30.0,3,0,553.0,25806.0
38.0,2,3.0,3,3,2,7342.0,53.0,0,0,570.0,41086.0
41.0,2,2.0,1,2,1,3844.0,20.0,4,1,596.0,45863.0
39.0,1,1.0,0,3,3,6723.0,45.0,4,0,850.0,50303.0
31.0,2,2.0,1,4,0,7358.0,28.0,4,0,570.0,60416.0
32.0,2,3.0,0,2,3,3756.0,-1.0,5,1,485.0,27546.0
53.0,1,3.0,3,3,1,3211.0,31.0,5,0,700.0,36173.0
-1.0,2,3.0,2,0,2,6669.0,13.0,4,1,786.0,29477.0
45.0,1,3.0,2,4,4,13645.0,13.0,3,1,529.0,10585.0
21.0,2,-1.0,1,0,2,3529.0,26.0,2,1,772.0,54683.0
40.0,1,3.0,3,2,1,9435.0,35.0,2,1,724.0,44926.0
