Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Risk,Credit score,Income
20,female,2,own,little,moderate,7078,33,radio/TV,good,604,44770
63,female,1,rent,little,none,12314,12,furniture/equipment,bad,594,18173
37,female,3,rent,little,moderate,4572,30,education,good,NA,30163
57,female,1,own,little,moderate,5096,42,car,bad,NA,42658
44,male,2,own,NA,none,6240,17,furniture/equipment,good,618,47986
23,female,2,rent,little,little,5325,54,furniture/equipment,good,669,12000
NA,female,2,rent,none,none,10416,54,radio/TV,good,725,47974
46,male,NA,own,little,moderate,2984,15,radio/TV,good,704,39656
43,male,1,rent,none,NA,2388,48,NA,good,805,53287
43,male,NA,rent,rich,none,12645,24,car,bad,561,37228
28,female,1,rent,moderate,none,2924,9,furniture/equipment,good,648,55490
49,female,NA,own,none,moderate,4097,13,car,bad,508,54032
39,male,3,free,little,moderate,3609,12,education,bad,NA,12026
26,female,2,rent,little,none,4759,26,business,bad,696,32468
61,female,3,free,little,none,NA,30,radio/TV,good,698,27479
64,female,1,free,little,none,8833,12,furniture/equipment,bad,542,51366
43,female,3,rent,moderate,NA,8787,32,NA,bad,540,30641
58,female,1,own,rich,moderate,8629,13,business,good,808,57521
28,male,1,rent,moderate,rich,6262,50,education,bad,658,47107
25,male,2,own,little,little,6363,31,education,good,755,21548
62,male,3,rent,NA,none,9991,58,education,bad,NA,23115
64,male,3,own,rich,rich,1888,13,furniture/equipment,good,NA,62037
40,male,1,own,moderate,moderate,2571,38,radio/TV,good,850,35158
48,female,NA,own,none,none,884,35,business,good,609,62733
53,female,NA,rent,moderate,rich,2666,NA,furniture/equipment,good,677,41885
37,female,1,rent,NA,rich,5525,35,car,good,591,54247
51,male,2,free,little,NA,10165,35,furniture/equipment,bad,665,20526
54,male,NA,rent,none,rich,9512,22,education,bad,620,NA
62,male,3,rent,rich,moderate,11569,18,NA,bad,614,29946
41,male,3,own,rich,little,5587,27,radio/TV,good,570,33779
43,female,2,rent,none,rich,10121,11,business,bad,478,47019
28,male,2,free,none,moderate,12506,14,furniture/equipment,bad,NA,29636
38,female,3,free,none,moderate,8401,51,business,bad,590,48090
31,female,1,free,rich,little,6538,24,radio/TV,good,634,46052
57,female,3,free,rich,none,2668,30,education,good,553,25806
38,male,3,rent,none,moderate,7342,53,NA,good,570,41086
41,male,2,free,moderate,little,3844,20,furniture/equipment,bad,596,45863
39,female,1,NA,none,none,6723,45,furniture/equipment,good,850,50303
31,male,2,free,rich,NA,7358,28,furniture/equipment,good,570,60416
32,male,3,NA,moderate,none,3756,NA,radio/TV,bad,485,27546
53,female,3,rent,none,little,3211,31,radio/TV,good,700,36173
NA,male,3,own,NA,moderate,6669,13,furniture/equipment,bad,786,29477
45,female,3,own,rich,rich,13645,13,education,bad,529,10585
21,male,NA,free,NA,moderate,3529,26,car,bad,772,54683
40,female,3,rent,moderate,little,9435,35,car,bad,724,44926
21,male,2,free,rich,moderate,9522,52,business,bad,NA,37147
33,male,2,free,rich,none,1640,12,radio/TV,good,800,34216
56,female,NA,rent,little,moderate,7524,22,NA,good,595,47630
NA,female,2,own,rich,little,3882,31,radio/TV,good,NA,38868
25,female,2,own,none,rich,5266,44,NA,good,515,37900
55,female,1,rent,rich,NA,6901,39,education,bad,659,39822
36,female,3,own,moderate,rich,2782,41,education,good,665,56269
23,male,1,own,little,rich,6801,48,car,good,690,37557
31,male,1,free,NA,rich,6082,44,radio/TV,good,561,58273
50,male,1,rent,rich,none,4357,30,radio/TV,good,569,60103
43,male,3,own,moderate,none,6203,45,NA,good,785,30760
45,female,2,rent,none,moderate,1563,21,car,good,592,31845
25,male,3,own,moderate,moderate,7204,44,car,good,634,20660
60,female,3,free,rich,rich,NA,32,education,good,506,22260
